pivo,massa,n,M,tempo_mediana_ms,tempo_medio_ms,tempo_min_ms,tempo_desvio_ms,tempo_mad_ms,comparacoes_medias,trocas_medias,repeticoes
meio,aleatorio,10000,5,0.4260515,0.43748665,0.414187,0.0313618203735,0.0063166173,171204.86,32226.24,100
meio,ordenado,10000,5,0.054409,0.05467525,0.05408,0.00122634592624,4.59606e-05,115916,2047,100
meio,repetidos,10000,5,0.207558,0.20882715,0.197068,0.0104126328688,0.005581989,129776.01,48253.02,100
meio,aleatorio,10000,6,0.418277,0.42478297,0.403057,0.0235365530609,0.0071372364,169673.87,32970.37,100
meio,ordenado,10000,6,0.0542,0.05909533,0.053289,0.0135846909104,0.0005715423,115916,2047,100
meio,repetidos,10000,6,0.203308,0.20936405,0.191629,0.0228572120875,0.005611641,128024.74,46943.3,100
meio,aleatorio,10000,8,0.406407,0.40913822,0.392347,0.0132307413419,0.005759901,167797.27,34978.24,100
meio,ordenado,10000,8,0.054129,0.05440457,0.05377,0.00117627057678,0.000126021,115916,2047,100
meio,repetidos,10000,8,0.199563,0.20001502,0.188668,0.00741699210315,0.0052491453,124951.58,45010.08,100
meio,aleatorio,10000,10,0.3968515,0.40028847,0.383607,0.0141770126488,0.006627222,167025.61,37342.91,100
meio,ordenado,10000,10,0.0495995,0.05009882,0.04903,0.0020115857325,0.000437367,107963,1023,100
meio,repetidos,10000,10,0.1962385,0.19758684,0.185778,0.00948012716183,0.005960052,121885.29,43189.49,100
meio,aleatorio,10000,12,0.387127,0.38877353,0.374877,0.00779325088928,0.005960052,166983.98,39941.13,100
meio,ordenado,10000,12,0.0493245,0.0495549,0.04909,0.000970914798247,0.000229803,107963,1023,100
meio,repetidos,10000,12,0.1916635,0.19570553,0.182129,0.0193127990572,0.0053514447,119826.48,42013.14,100
meio,aleatorio,10000,15,0.378472,0.3802508,0.364647,0.0120109799943,0.008065344,167851.41,44102.52,100
meio,ordenado,10000,15,0.0492345,0.05424426,0.04897,0.0126875718117,0.000200151,107963,1023,100
meio,repetidos,10000,15,0.1897635,0.19532676,0.179338,0.0247174337927,0.006516027,117146.86,40547.46,100
meio,aleatorio,10000,20,0.365442,0.36655772,0.353817,0.00818764150385,0.007235088,170730.75,51316.6,100
meio,ordenado,10000,20,0.0457395,0.05098542,0.04544,0.0128342937541,0.0002083053,98986,511,100
meio,repetidos,10000,20,0.183764,0.18530763,0.174569,0.00895467755388,0.0068132883,113061.23,38350.07,100
meio,aleatorio,10000,25,0.3559675,0.35752429,0.344737,0.00779827304412,0.0055367697,174784.08,58778.33,100
meio,ordenado,10000,25,0.045755,0.05387558,0.04545,0.0158859415291,0.000363237,98986,511,100
meio,repetidos,10000,25,0.1821585,0.18317536,0.171678,0.00896914422178,0.0061016403,110362.9,36964.98,100
meio,aleatorio,10000,30,0.350567,0.35140144,0.337837,0.0072837544103,0.0048028827,179724.93,66556.88,100
meio,ordenado,10000,30,0.0455,0.04585495,0.04543,0.00116614319317,7.413e-05,98986,511,100
meio,repetidos,10000,30,0.179338,0.18773063,0.169158,0.026781465863,0.00674583,108171.1,35875.27,100
meio,aleatorio,10000,40,0.345247,0.34553069,0.333028,0.00524401406453,0.0057458163,190647.02,81881.65,100
meio,ordenado,10000,40,0.04127,0.04154926,0.04105,0.00155211006339,6.07866e-05,89497,255,100
meio,repetidos,10000,40,0.173929,0.17376736,0.164878,0.00458187490299,0.0049652274,104105.55,33906.45,100
meio,aleatorio,10000,50,0.342998,0.34372178,0.331068,0.00536753896841,0.0050274966,203099.27,97814.5,100
meio,ordenado,10000,50,0.0413295,0.04155077,0.041049,0.000949487760412,0.0002513007,89497,255,100
meio,repetidos,10000,50,0.171244,0.17115016,0.162779,0.0047715356775,0.0056716863,101631.89,32854.58,100
meio,aleatorio,10000,70,0.349207,0.34868488,0.337098,0.00526663141392,0.005648706,230322.55,130417.2,100
meio,ordenado,10000,70,0.0413145,0.04145398,0.04106,0.000795792140517,0.000126021,89497,255,100
meio,repetidos,10000,70,0.1670985,0.16696095,0.156898,0.00467683996606,0.0054255747,98120.49,31625.25,100
meio,aleatorio,10000,100,0.364042,0.36449922,0.352177,0.00629779388916,0.005656119,273563.97,179458.43,100
meio,ordenado,10000,100,0.03802,0.0382489,0.03787,0.0010249380814,4.29954e-05,79752,127,100
meio,repetidos,10000,100,0.162619,0.16295331,0.153769,0.0053869030958,0.005552337,95190.93,31293.82,100
meio,aleatorio,10000,150,0.3937515,0.39428279,0.380467,0.00612272089,0.0059963757,349047.09,261532.35,100
meio,ordenado,10000,150,0.03791,0.03812278,0.03764,0.0009635534988,4.4478e-05,79752,127,100
meio,repetidos,10000,150,0.160259,0.16027295,0.148109,0.00505590530289,0.004988949,95262.7,34416.81,100
